  UP pe -0.079108000 ac -0.000000070 pa -0.000052698 int  0.999947 
  UP pe -0.082810000 ac -0.000000144 pa -0.000055164 int  0.999945 
  UP pe -0.080669000 ac -0.000000216 pa -0.000053738 int  0.999946 
  UP pe -0.081511000 ac -0.000000288 pa -0.000054299 int  0.999945 
  UP pe -0.080551000 ac -0.000000359 pa -0.000053659 int  0.999946 
  UP pe -0.079819000 ac -0.000000430 pa -0.000053172 int  0.999946 
  UP pe -0.082975000 ac -0.000000504 pa -0.000055274 int  0.999944 
  UP pe -0.082844000 ac -0.000000578 pa -0.000055187 int  0.999944 
  UP pe -0.081651000 ac -0.000000650 pa -0.000054392 int  0.999945 
  UP pe -0.081496000 ac -0.000000723 pa -0.000054289 int  0.999945 
  UP pe -0.080540000 ac -0.000000794 pa -0.000053652 int  0.999946 
  UP pe -0.083035000 ac -0.000000868 pa -0.000055314 int  0.999944 
  UP pe -0.079304000 ac -0.000000938 pa -0.000052829 int  0.999946 
  UP pe -0.083025000 ac -0.000001012 pa -0.000055308 int  0.999944 
  UP pe -0.080129000 ac -0.000001083 pa -0.000053378 int  0.999946 
  UP pe -0.078783000 ac -0.000001153 pa -0.000052482 int  0.999946 
  UP pe -0.082191000 ac -0.000001226 pa -0.000054752 int  0.999944 
  UP pe -0.079281000 ac -0.000001297 pa -0.000052813 int  0.999946 
  UP pe -0.078326000 ac -0.000001366 pa -0.000052177 int  0.999946 
  UP pe -0.081944000 ac -0.000001439 pa -0.000054587 int  0.999944 
  UP pe -0.082322000 ac -0.000001512 pa -0.000054839 int  0.999944 
  UP pe -0.082209000 ac -0.000001585 pa -0.000054764 int  0.999944 
  UP pe -0.079891000 ac -0.000001656 pa -0.000053220 int  0.999945 
  UP pe -0.080944000 ac -0.000001728 pa -0.000053921 int  0.999944 
  UP pe -0.081601000 ac -0.000001801 pa -0.000054359 int  0.999944 
  UP pe -0.080791000 ac -0.000001872 pa -0.000053819 int  0.999944 
  UP pe -0.079420000 ac -0.000001943 pa -0.000052906 int  0.999945 
  UP pe -0.082042000 ac -0.000002016 pa -0.000054653 int  0.999943 
  UP pe -0.078063000 ac -0.000002085 pa -0.000052002 int  0.999946 
  UP pe -0.078983000 ac -0.000002155 pa -0.000052615 int  0.999945 
  UP pe -0.078024000 ac -0.000002225 pa -0.000051976 int  0.999946 
  UP pe -0.076969000 ac -0.000002293 pa -0.000051273 int  0.999946 
  UP pe -0.077847000 ac -0.000002362 pa -0.000051858 int  0.999946 
  UP pe -0.078769000 ac -0.000002432 pa -0.000052472 int  0.999945 
  UP pe -0.078674000 ac -0.000002502 pa -0.000052409 int  0.999945 
  UP pe -0.078415000 ac -0.000002572 pa -0.000052237 int  0.999945 
  UP pe -0.080286000 ac -0.000002643 pa -0.000053483 int  0.999944 
  UP pe -0.078342000 ac -0.000002713 pa -0.000052188 int  0.999945 
  UP pe -0.081577000 ac -0.000002785 pa -0.000054343 int  0.999943 
  UP pe -0.078286000 ac -0.000002855 pa -0.000052151 int  0.999945 
  UP pe -0.080334000 ac -0.000002926 pa -0.000053515 int  0.999944 
  UP pe -0.079004000 ac -0.000002996 pa -0.000052629 int  0.999944 
  UP pe -0.076832000 ac -0.000003065 pa -0.000051182 int  0.999946 
  UP pe -0.076239000 ac -0.000003132 pa -0.000050787 int  0.999946 
  UP pe -0.077448000 ac -0.000003201 pa -0.000051592 int  0.999945 
  UP pe -0.077671000 ac -0.000003270 pa -0.000051741 int  0.999945 
  UP pe -0.080984000 ac -0.000003342 pa -0.000053948 int  0.999943 
  UP pe -0.076730000 ac -0.000003410 pa -0.000051114 int  0.999945 
  UP pe -0.077592000 ac -0.000003479 pa -0.000051688 int  0.999945 
  UP pe -0.076447000 ac -0.000003547 pa -0.000050926 int  0.999946 
  UP pe -0.079475000 ac -0.000003618 pa -0.000052943 int  0.999943 
  UP pe -0.077126000 ac -0.000003686 pa -0.000051378 int  0.999945 
  UP pe -0.079815000 ac -0.000003757 pa -0.000053169 int  0.999943 
  UP pe -0.076727000 ac -0.000003825 pa -0.000051112 int  0.999945 
  UP pe -0.075527000 ac -0.000003892 pa -0.000050313 int  0.999946 
  UP pe -0.078766000 ac -0.000003962 pa -0.000052470 int  0.999944 
  UP pe -0.078630000 ac -0.000004032 pa -0.000052380 int  0.999944 
  UP pe -0.076216000 ac -0.000004100 pa -0.000050772 int  0.999945 
  UP pe -0.078503000 ac -0.000004170 pa -0.000052295 int  0.999944 
  UP pe -0.078169000 ac -0.000004239 pa -0.000052073 int  0.999944 
  UP pe -0.077976000 ac -0.000004308 pa -0.000051944 int  0.999944 
  UP pe -0.079417000 ac -0.000004379 pa -0.000052904 int  0.999943 
  UP pe -0.078009000 ac -0.000004448 pa -0.000051966 int  0.999944 
  UP pe -0.078734000 ac -0.000004518 pa -0.000052449 int  0.999943 
  UP pe -0.079749000 ac -0.000004589 pa -0.000053125 int  0.999942 
  UP pe -0.078561000 ac -0.000004659 pa -0.000052334 int  0.999943 
  UP pe -0.079237000 ac -0.000004729 pa -0.000052784 int  0.999942 
  UP pe -0.078093000 ac -0.000004799 pa -0.000052022 int  0.999943 
  UP pe -0.078603000 ac -0.000004868 pa -0.000052362 int  0.999943 
  UP pe -0.079098000 ac -0.000004939 pa -0.000052692 int  0.999942 
  UP pe -0.078564000 ac -0.000005008 pa -0.000052336 int  0.999943 
  UP pe -0.075810000 ac -0.000005076 pa -0.000050501 int  0.999944 
  UP pe -0.075177000 ac -0.000005143 pa -0.000050080 int  0.999945 
  UP pe -0.078904000 ac -0.000005213 pa -0.000052562 int  0.999942 
  UP pe -0.075635000 ac -0.000005280 pa -0.000050385 int  0.999944 
  UP pe -0.076025000 ac -0.000005347 pa -0.000050644 int  0.999944 
  UP pe -0.079122000 ac -0.000005418 pa -0.000052708 int  0.999942 
  UP pe -0.078931000 ac -0.000005488 pa -0.000052580 int  0.999942 
  UP pe -0.075019000 ac -0.000005554 pa -0.000049974 int  0.999944 
  UP pe -0.075352000 ac -0.000005621 pa -0.000050196 int  0.999944 
  UP pe -0.078038000 ac -0.000005691 pa -0.000051985 int  0.999942 
  UP pe -0.077316000 ac -0.000005759 pa -0.000051504 int  0.999943 
  UP pe -0.076763000 ac -0.000005828 pa -0.000051136 int  0.999943 
  UP pe -0.076859000 ac -0.000005896 pa -0.000051200 int  0.999943 
  UP pe -0.078156000 ac -0.000005965 pa -0.000052064 int  0.999942 
  UP pe -0.075399000 ac -0.000006032 pa -0.000050227 int  0.999944 
  UP pe -0.078415000 ac -0.000006102 pa -0.000052237 int  0.999942 
  UP pe -0.076253000 ac -0.000006170 pa -0.000050796 int  0.999943 
  UP pe -0.076170000 ac -0.000006237 pa -0.000050741 int  0.999943 
  UP pe -0.076280000 ac -0.000006305 pa -0.000050814 int  0.999943 
  UP pe -0.073705000 ac -0.000006371 pa -0.000049099 int  0.999945 
  UP pe -0.078695000 ac -0.000006441 pa -0.000052423 int  0.999941 
  UP pe -0.074057000 ac -0.000006506 pa -0.000049333 int  0.999944 
  UP pe -0.075113000 ac -0.000006573 pa -0.000050037 int  0.999943 
  UP pe -0.075698000 ac -0.000006640 pa -0.000050427 int  0.999943 
  UP pe -0.078422000 ac -0.000006710 pa -0.000052241 int  0.999941 
  UP pe -0.077115000 ac -0.000006779 pa -0.000051371 int  0.999942 
  UP pe -0.074629000 ac -0.000006845 pa -0.000049715 int  0.999943 
  UP pe -0.075057000 ac -0.000006911 pa -0.000050000 int  0.999943 
  UP pe -0.075570000 ac -0.000006979 pa -0.000050341 int  0.999943 
  UP pe -0.077358000 ac -0.000007047 pa -0.000051532 int  0.999941 
  UP pe -0.077425000 ac -0.000007116 pa -0.000051577 int  0.999941 
  UP pe -0.076456000 ac -0.000007184 pa -0.000050932 int  0.999942 
  UP pe -0.077510000 ac -0.000007253 pa -0.000051634 int  0.999941 
